trial,system,satisfaction,condorcet_compliance,monotonicity_violation_rate
1,Plurality,0.5166666666666664,,0.0
1,Borda,0.5183333333333334,,0.0
1,IRV,0.5166666666666664,,0.0
1,RankedPairs,0.5166666666666664,,0.0
2,Plurality,0.5283333333333332,,0.0
2,Borda,0.5283333333333332,,0.0
2,IRV,0.5166666666666668,,0.0
2,RankedPairs,0.5283333333333332,,0.0
3,Plurality,0.5699999999999998,True,0.0
3,Borda,0.5699999999999998,True,0.0
3,IRV,0.5699999999999998,True,0.0
3,RankedPairs,0.5699999999999998,True,0.0
4,Plurality,0.5050000000000002,False,0.0
4,Borda,0.5333333333333332,False,0.0
4,IRV,0.5333333333333332,False,0.0
4,RankedPairs,0.5133333333333332,True,0.0
5,Plurality,0.5349999999999999,True,0.0
5,Borda,0.5349999999999999,True,0.0
5,IRV,0.5349999999999999,True,0.0
5,RankedPairs,0.5349999999999999,True,0.0
6,Plurality,0.5400000000000004,True,0.0
6,Borda,0.5400000000000004,True,0.0
6,IRV,0.5400000000000004,True,0.0
6,RankedPairs,0.5400000000000004,True,0.0
7,Plurality,0.49833333333333324,,0.0
7,Borda,0.5050000000000002,,0.0
7,IRV,0.49833333333333324,,0.1
7,RankedPairs,0.5050000000000002,,0.0
8,Plurality,0.5383333333333331,True,0.0
8,Borda,0.5383333333333331,True,0.0
8,IRV,0.5383333333333331,True,0.0
8,RankedPairs,0.5383333333333331,True,0.0
9,Plurality,0.5266666666666667,True,0.0
9,Borda,0.5266666666666667,True,0.0
9,IRV,0.5266666666666667,True,0.0
9,RankedPairs,0.5266666666666667,True,0.0
10,Plurality,0.5383333333333334,False,0.0
10,Borda,0.5383333333333334,False,0.0
10,IRV,0.5183333333333331,True,0.0
10,RankedPairs,0.5183333333333331,True,0.0
11,Plurality,0.5366666666666666,False,0.0
11,Borda,0.5366666666666666,False,0.0
11,IRV,0.5316666666666666,True,0.0
11,RankedPairs,0.5316666666666666,True,0.0
12,Plurality,0.5216666666666667,True,0.0
