generation,rank,weights,fitness,avg_sat,cond_rate,avg_mono
3,1,"[8, 4, 2, 0]",0.6263333333333334,0.543888888888889,1.0,0.0
3,2,"[8, 6, 3, 1]",0.6230666666666667,0.5384444444444444,1.0,0.0
3,3,"[8, 6, 3, 1]",0.6212666666666666,0.5354444444444444,1.0,0.0
3,4,"[8, 6, 1, 1]",0.6071166666666666,0.5431111111111111,0.9375,0.0
3,5,"[5, 3, 1, 0]",0.6021529411764706,0.5329999999999999,0.9411764705882353,0.0
3,6,"[5, 3, 1, 0]",0.5978285714285714,0.5439999999999999,0.9047619047619048,0.0
3,7,"[8, 8, 1, 0]",0.5936666666666666,0.5394444444444444,0.9,0.0
3,8,"[9, 3, 3, 0]",0.577298245614035,0.5411111111111111,0.8421052631578947,0.0
3,9,"[8, 6, 1, 0]",0.572192156862745,0.5418888888888889,0.8235294117647058,0.0
3,10,"[7, 3, 1, 1]",0.5705921568627451,0.5392222222222223,0.8235294117647058,0.0
3,11,"[5, 3, 2, 0]",0.5699878787878787,0.5408888888888889,0.8181818181818182,0.0
3,12,"[8, 6, 1, 0]",0.5609333333333333,0.5348888888888889,0.8,0.0
3,13,"[8, 6, 3, 1]",0.5580666666666666,0.5412222222222222,0.7777777777777778,0.0
3,14,"[9, 8, 1, 0]",0.5506666666666666,0.5427777777777778,0.75,0.0
3,15,"[10, 9, 1, 1]",0.5368666666666666,0.5336666666666666,0.7222222222222222,0.0
4,1,"[7, 4, 2, 0]",0.625,0.5416666666666666,1.0,0.0
4,2,"[8, 6, 3, 1]",0.6232,0.5386666666666666,1.0,0.0
4,3,"[8, 6, 3, 1]",0.6087333333333333,0.5395555555555556,0.95,0.0
4,4,"[9, 4, 1, 0]",0.6070666666666666,0.5395555555555556,0.9444444444444444,0.0
4,5,"[9, 4, 1, 1]",0.5996564102564103,0.5378888888888889,0.9230769230769231,0.0
4,6,"[7, 6, 3, 0]",0.5971619047619048,0.5428888888888889,0.9047619047619048,0.0
4,7,"[8, 6, 3, 1]",0.5936210526315788,0.5419999999999999,0.8947368421052632,0.0
4,8,"[8, 4, 2, 0]",0.5883666666666667,0.5431111111111111,0.875,0.0
4,9,"[7, 5, 1, 1]",0.5852333333333333,0.5378888888888889,0.875,0.0
4,10,"[7, 7, 3, 1]",0.5823333333333334,0.5372222222222223,0.8666666666666667,0.0
4,11,"[8, 4, 3, 1]",0.575298245614035,0.5377777777777778,0.8421052631578947,0.0
4,12,"[8, 4, 1, 0]",0.5648666666666666,0.5414444444444444,0.8,0.0
4,13,"[8, 6, 1, 1]",0.5621999999999999,0.5369999999999999,0.8,0.0
4,14,"[6, 6, 3, 1]",0.544719298245614,0.5394444444444445,0.7368421052631579,0.0
4,15,"[8, 7, 1, 1]",0.5287589743589743,0.5351111111111111,0.6923076923076923,0.0
5,1,"[7, 5, 3, 1]",0.6242666666666666,0.5404444444444444,1.0,0.0
5,2,"[8, 6, 3, 1]",0.6236666666666666,0.5394444444444444,1.0,0.0
5,3,"[11, 6, 3, 0]",0.6230666666666667,0.5384444444444444,1.0,0.0
5,4,"[9, 4, 1, 0]",0.6104666666666666,0.5424444444444444,0.95,0.0
5,5,"[8, 6, 3, 1]",0.6093999999999999,0.5434444444444444,0.9444444444444444,0.0
5,6,"[7, 4, 2, 0]",0.6074771929824561,0.5387777777777778,0.9473684210526315,0.0
5,7,"[7, 4, 1, 0]",0.6069833333333333,0.5428888888888889,0.9375,0.0
5,8,"[7, 4, 1, 0]",0.6039166666666667,0.5377777777777778,0.9375,0.0
5,9,"[8, 4, 3, 0]",0.5909058823529412,0.5436666666666666,0.8823529411764706,0.0
5,10,"[8, 7, 3, 0]",0.5877666666666665,0.542111111111111,0.875,0.0
5,11,"[8, 6, 2, 0]",0.5853058823529411,0.5343333333333333,0.8823529411764706,0.0
5,12,"[9, 3, 2, 0]",0.5831999999999999,0.5386666666666666,0.8666666666666667,0.0
5,13,"[9, 4, 0, 0]",0.5671238095238095,0.5404444444444444,0.8095238095238095,0.0
5,14,"[8, 6, 3, 3]",0.5658166666666666,0.5367777777777777,0.8125,0.0
5,15,"[6, 6, 1, 0]",0.5490358974358974,0.5304444444444444,0.7692307692307693,0.0
6,1,"[10, 6, 2, 0]",0.6265333333333333,0.5442222222222222,1.0,0.0
6,2,"[8, 6, 3, 0]",0.6228666666666667,0.5381111111111111,1.0,0.0
6,3,"[9, 4, 1, 0]",0.6193333333333333,0.5322222222222223,1.0,0.0
6,4,"[11, 6, 3, 3]",0.6107333333333334,0.5428888888888889,0.95,0.0
6,5,"[11, 6, 3, 0]",0.6089333333333333,0.5426666666666666,0.9444444444444444,0.0
6,6,"[7, 5, 3, 1]",0.6044666666666667,0.5407777777777778,0.9333333333333333,0.0
6,7,"[11, 6, 1, 0]",0.5905058823529411,0.5429999999999999,0.8823529411764706,0.0
6,8,"[9, 6, 3, 0]",0.5899058823529411,0.5419999999999999,0.8823529411764706,0.0
6,9,"[7, 5, 3, 0]",0.5895725490196079,0.5414444444444445,0.8823529411764706,0.0
6,10,"[9, 4, 2, 1]",0.5886666666666667,0.5366666666666666,0.8888888888888888,0.0
6,11,"[8, 6, 3, 1]",0.5865725490196079,0.5364444444444444,0.8823529411764706,0.0
6,12,"[11, 4, 3, 1]",0.581,0.535,0.8666666666666667,0.0
6,13,"[10, 4, 1, 1]",0.5802095238095237,0.5384444444444444,0.8571428571428571,0.0
6,14,"[11, 7, 3, 1]",0.5531692307692306,0.5373333333333332,0.7692307692307693,0.0
6,15,"[11, 4, 2, 2]",0.5425391304347825,0.5346666666666666,0.7391304347826086,0.0
7,1,"[8, 6, 3, 0]",0.6079333333333332,0.5382222222222222,0.95,0.0
7,2,"[9, 4, 4, 0]",0.6042862745098039,0.5365555555555556,0.9411764705882353,0.0
7,3,"[8, 6, 3, 3]",0.6027999999999999,0.5379999999999999,0.9333333333333333,0.0
7,4,"[9, 4, 1, 1]",0.6026499999999999,0.5356666666666666,0.9375,0.0
7,5,"[11, 6, 3, 1]",0.601504761904762,0.5382222222222223,0.9285714285714286,0.0
7,6,"[10, 6, 2, 0]",0.5911333333333333,0.5407777777777777,0.8888888888888888,0.0
7,7,"[13, 6, 3, 0]",0.5867058823529412,0.5366666666666667,0.8823529411764706,0.0
7,8,"[11, 6, 3, 0]",0.5861000000000001,0.5393333333333333,0.875,0.0
7,9,"[9, 4, 1, 0]",0.5826761904761905,0.5425555555555556,0.8571428571428571,0.0
7,10,"[11, 6, 3, 3]",0.5577333333333333,0.5295555555555556,0.8,0.0
7,11,"[8, 6, 4, 0]",0.5572666666666666,0.5398888888888889,0.7777777777777778,0.0
7,12,"[8, 6, 1, 0]",0.5536666666666666,0.5338888888888889,0.7777777777777778,0.0
7,13,"[8, 4, 3, 2]",0.5491999999999999,0.5403333333333333,0.75,0.0
7,14,"[6, 6, 4, 4]",0.5478380952380952,0.5321111111111111,0.7619047619047619,0.0
7,15,"[11, 6, 3, 1]",0.5442,0.5403333333333333,0.7333333333333333,0.0
8,1,"[8, 6, 3, 0]",0.6240666666666667,0.5401111111111111,1.0,0.0
8,2,"[10, 4, 4, 0]",0.6210666666666667,0.5351111111111111,1.0,0.0
8,3,"[8, 6, 3, 3]",0.6172,0.5536666666666666,0.95,0.0
8,4,"[9, 4, 4, 0]",0.6079333333333333,0.541,0.9444444444444444,0.0
8,5,"[8, 4, 1, 0]",0.6072771929824561,0.5384444444444444,0.9473684210526315,0.0
8,6,"[8, 6, 3, 3]",0.6033529411764705,0.5349999999999999,0.9411764705882353,0.0
8,7,"[8, 6, 3, 0]",0.5941333333333333,0.5402222222222222,0.9,0.0
8,8,"[9, 6, 4, 3]",0.5869,0.5406666666666666,0.875,0.0
8,9,"[8, 6, 3, 1]",0.5788,0.5396666666666666,0.85,0.0
8,10,"[8, 4, 4, 2]",0.5751333333333333,0.5335555555555556,0.85,0.0
8,11,"[6, 4, 4, 0]",0.5713254901960784,0.5404444444444444,0.8235294117647058,0.0
8,12,"[9, 4, 3, 3]",0.5431859649122807,0.5368888888888889,0.7368421052631579,0.0
8,13,"[8, 6, 1, 1]",0.5393333333333332,0.5238888888888888,0.75,0.0
8,14,"[9, 4, 1, 1]",0.52765,0.5356666666666666,0.6875,0.0
8,15,"[9, 4, 4, 1]",0.5127904761904762,0.5332222222222223,0.6428571428571429,0.0
9,1,"[8, 6, 3, 3]",0.6244,0.5406666666666666,1.0,0.0
9,2,"[9, 4, 4, 0]",0.6121333333333332,0.5479999999999999,0.9444444444444444,0.0
9,3,"[8, 6, 3, 0]",0.6064499999999999,0.542,0.9375,0.0
9,4,"[9, 4, 4, 0]",0.6002666666666666,0.5421111111111111,0.9166666666666666,0.0
9,5,"[10, 4, 4, 0]",0.5988666666666667,0.5481111111111111,0.9,0.0
9,6,"[9, 6, 4, 0]",0.5920666666666665,0.5423333333333332,0.8888888888888888,0.0
9,7,"[10, 5, 3, 0]",0.5903333333333334,0.5394444444444445,0.8888888888888888,0.0
9,8,"[7, 6, 3, 2]",0.5899666666666668,0.5457777777777778,0.875,0.0
9,9,"[8, 4, 2, 0]",0.5764982456140351,0.5397777777777778,0.8421052631578947,0.0
9,10,"[8, 2, 2, 0]",0.5713594202898551,0.5392222222222223,0.8260869565217391,0.0
9,11,"[10, 4, 4, 2]",0.5449999999999999,0.5333333333333333,0.75,0.0
9,12,"[9, 4, 4, 0]",0.5400666666666667,0.539,0.7222222222222222,0.0
9,13,"[9, 4, 4, 0]",0.5383333333333333,0.5305555555555557,0.7333333333333333,0.0
9,14,"[7, 4, 4, 0]",0.5354313725490196,0.5394444444444445,0.7058823529411765,0.0
9,15,"[8, 4, 4, 0]",0.5177333333333333,0.5295555555555556,0.6666666666666666,0.0
10,1,"[8, 5, 4, 0]",0.6215999999999999,0.5359999999999999,1.0,0.0
10,2,"[8, 6, 1, 0]",0.613247619047619,0.5458888888888889,0.9523809523809523,0.0
10,3,"[8, 6, 3, 0]",0.6110771929824561,0.5447777777777777,0.9473684210526315,0.0
